komentar,platform,clean,sentimen
"Give me THAI HORROR MOVIES now that's scary .  Saw part 1 EHEW, that's was wastes of my f**king times trailer scary movie, better clean your house babe.",youtube,give me thai horror movies now thats scary saw part ehew thats was wastes of my fking times trailer scary movie better clean your house babe,netral
"https://youtu.be/x6pXN96I4Uo

film pendek horor. izin pa joko anwar :D",youtube,httpsyoutubexpxniuo film pendek horor izin pa joko anwar d,netral
"Buat kritik aja ya, menurutku ceritanya banyak plot hole. Nambah-nambah adegan menegangkan kek biar lama aja. Padahal beberapa orang kurang di kasih background story, jadi semua yg mereka alamin cuman buat aku masih kurang paham walaupun udah ngerti kenapa, tapi mereka yg mati begitu aja itu cukup aneh sih. Yg diawal aja mati buat ikutan nyembah setan, tapi yg lain mati gegera mereka berada di waktu yg salah aja. Oleh karena ini juga aku jadi geregetan karena alurnya yg gak dikasih tahu-tahu. 
Adegan menegangkan nya juga selalu diiringi dengan musik. Sebenarnya bisa dicobain ada suatu saat cuman silent untuk membangun ambience yg lebih menegangkan. Tapi di film ini biasanya itu ada setelah jumpscare, cuman ngasih bg yg kosong kek sengaja buat orang takut hantunya bakalan muncul lagi. 

Oke segitu aja, visual dan aktingnya sih sudah mantap. Apalagi mereka berhasil banget buat latar belakang jaman dulu yg kerasa banget, mantap.",youtube,kritik aja ya turut cerita plot hole nambahnambah adegan tegang kek biar aja orang kasih background story yg alamin cuman paham udah ngerti yg mati aja aneh sih yg awal aja mati ikut nyembah setan yg mati gegera yg salah aja gereget alur yg gak kasih tahutahu adegan tegang nya iring musik dicobain cuman silent bangun ambience yg tegang film jumpscare cuman ngasih bg yg kosong kek sengaja orang takut hantu muncul oke segitu aja visual akting sih mantap hasil banget latar jaman yg rasa banget mantap,positif
udh lama ga noton film horror indonesia. kemarin malem baru noton film ini di bioskop. sampe kebawa mimpi. mimpinya banya pocong bergeletakan di lantai. huaaaaaaaaaa,youtube,udh ga noton film horror indonesia kemarin malem noton film bioskop sampe bawa mimpi mimpi banya pocong geta lantai huaaaaaaaaaa,netral
Nonton dimana? Selain di bioskop?,youtube,nonton mana bioskop,netral
 @brownbaschannel136 selama ini gw cuma nnton dibioskop aja ngab,youtube,brownbaschannel gw nnton bioskop aja ngab,netral
"iya gak serem, klo nonton nya sambil merem",youtube,iya gak rem klo nonton nya merem,netral
"@Kyler Chanz di filmny yg kedua ini udh di kasih tau bapaknya udh kerja apa,kalau mau tau nnton aj",youtube,kyler chanz filmny yg udh kasih tau bapak udh kerja apakalau tau nnton aj,netral
 @Ramm_rzzz  ga sabar aj part 3 nya,youtube,rammrzzz ga sabar aj part nya,netral
Di film luar negri juga sering gitu...pendeta dibunuh sama setan udah biasa,youtube,film negri gitupendeta bunuh setan udah,netral
Krn Jokan the real pengabdi setan 😂,youtube,krn jok the real abdi setan,netral
"termasuk Jin jahat, sholat aj jin msi mau ganggu",youtube,jin jahat sholat aj jin msi ganggu,netral
"Teori nya udah baca belom? Wkwkwk, film ini udah selevel inter, banyak teori. Kalo nonton tu harus sambil mikir, malah ending yang b aja itu banyak misteri. Tinggal liat PS3 aja",youtube,teori nya udah baca bom wkwkwk film udah level inter teori kalo nonton tu mikir ending b aja misteri tinggal liat ps aja,netral
 @Youbitxhstgu  bener,youtube,youbitxhstgu bener,netral
"Tapi kepikiran ngga sih orang² yg mati itu (terkecuali bocil cwek)  kayak ada sangkut pautnya sama adiknya rini yg ke 2 (yg suka sama tari) kayak misalkan tari mati waktu di pembuangan sampah sebelumnya adiknya rini itu buang radionya ke tempta sampah, trus cwok yg suka tari juga dia mati ketusuk benda tajem yang sebelumnya pernah ditolong sama adiknya rini waktu ambil garpu dan juga pak ustadz ny juga meninggal dengan posisi si badannya kebalik (dari pinggang ke atas ya) yang di mana waktu itu juga dia nawarin pak ustadzny buat pijet pinggangnya",youtube,pikir ngga sih orang yg mati kecuali bocil cwek kayak sangkut paut adik rini yg yg suka tari kayak tari mati buang sampah adik rini buang radio tempta sampah trus cwok yg suka tari mati tusuk benda tajem tolong adik rini ambil garpu ustadz ny tinggal posisi si badan balik pinggang ya nawarin ustadzny pijet pinggang,positif
" @sitiramadhani6236  wkwkw, ga notis sih, ga nyadar ternyata nyambung gitu ya?",youtube,sitiramadhani wkwkw ga not sih ga nyadar nyambung gitu ya,netral
"I just watched the first installment and I really love it! I really envy my South East Asian neighbors when it comes to horror films. Pilipinas, ano na??? Napag-iiwanan na tayo! Move on na tayo sa poverty porn films please lang.",youtube,i just watched the first installment and i really love it i really envy my south east asi neighbors when it comes to horror films pilipinas ano na napagiiwanan na tayo move on na tayo sa poverty porn films please lang,netral
Bagus banget ngab,youtube,bagus banget ngab,positif
Kagettttt 😭😭,youtube,kagettttt,netral
Kunti di pengenalan trailer ini sungguh mantap kaget juga gue liatinnya nga sabar gue mau nonton,youtube,kunti kenal trailer sungguh mantap kaget gue liatinnya nga sabar gue nonton,positif
Cokkk,youtube,cokkk,netral
Uda nonton pengen nonton lagi,youtube,uda nonton ken nonton,netral
Rusun nya ada di kalimalang. Dan 1hri kmren rivew rusun nya.. dan ternyata tdak sesui di film rusun begitu hancur dan brantakan tidak ada liftnya.. tapi di film nya begitu bagus dan lengkap beserta pintu kamar dan cendela... bener2 pak joko anwar rapih dalam pembuatan filmnya,youtube,rusun nya kalimalang hri kmren rivew rusun nya tdak sesui film rusun hancur brantakan lift film nya bagus lengkap serta pintu kamar cendela bener joko anwar rapih buat film,positif
Gue udah lihat tapi masih aja kaget,youtube,gue udah lihat aja kaget,netral
"Fim terseram 2022 ,,pribadi menilai almost perfect,9,5/10...KKN desa penari masih jauh dibawah film ini,,,,wajib banget nonton,,karena kita akan betul betul dibawa ke rumah susunnya,,,,detail detail adegan serasa kita masuk kesana....",youtube,fim seram pribadi nilai almost perfectkkn desa tari bawah film iniwajib banget nontonkarena bawa rumah susunnyadetail detail adegan serasa masuk kesana,positif
no surprise movie,youtube,no surprise movie,netral
"Uda nonton
Keren 
Pgn nonton lg 👍👍",youtube,uda nonton keren pgn nonton lg,positif
10/10. Baru nonton di bioskop di Malaysia. Sangat bagus sekali. Film2 Joko Anwar sememangnya mempunyai kualitas tinggi apatah lagi terasa takjub nonton film ini di IMAX.,youtube,nonton bioskop malaysia bagus film joko anwar memang kualitas takjub nonton film imax,positif
Nonton filem yg bikin capek. Serasa lari bareng.. serem kaya nyata 👻,youtube,nonton filem yg bikin capek serasa lari bareng rem kaya nyata,netral
Pls ini tayang dmana selain bioskop?,youtube,pls tayang dmana bioskop,netral
"Yg masih jd pertanyaan gw, ari, bondi kan turun krn mau nganterin darto plg, lalu mereka diteror, sebelum mereka turun ibunya ari dan wina masih hidup, koq pas mereka dijemput pa budiman, ari gk nyati adeknya dulu, pdhl dianbelum tau kalo adeknya uda meninggal",youtube,yg jd gw ari bondi turun krn nganterin darto plg teror turun ibu ari wina hidup koq pas jemput pa budiman ari gk nyati adeknya pdhl dianbelum tau kalo adeknya uda tinggal,netral
Ga sabar pengen nonton,youtube,ga sabar ken nonton,netral
film sampah...+ sutradra minim ilmu,youtube,film sampah sutradra minim ilmu,netral
Ini flim paling keren sumpah,youtube,flim keren sumpah,positif
Terbaek!!!!!!!first original sudah bagus…lepas tu remake and dan ni pula sequel…terbaik!!!!!!!,youtube,terbaekfirst original baguslepas tu remake and ni sequelterbaik,positif
Gw nunggu perempuan tanah jahanam part 2.,youtube,gw nunggu perempuan tanah jahanam part,netral
Philippines better produce porn movies like in Japan 💪🏻,youtube,philippines better produce porn movies like in japan,netral
ARE YOU RETARDED,youtube,are you retarded,netral
Di kampung situ gak ada bioskop emang?,youtube,kampung situ gak bioskop emang,netral
 @gizanputra9840  aing tnggl di papua bagian sarmi dan di sarmi tu ngk ada bioskop,youtube,gizanputra aing tnggl papua sarmi sarmi tu ngk bioskop,netral
"Kan yang idup udah pasti dibuat persembahan setan, otomatis yaa mereka udah ga mikir lagi. Orang yang masi idup aja pada dikumpulin di lantai 15 kan",youtube,idup udah sembah setan otomatis yaa udah ga mikir orang mas idup aja dikumpulin lantai,netral
"Bisa diceritain ga bang, apa yg buat dia sampah",youtube,diceritain ga bang yg sampah,netral
Otak lu yg minim ilmu kayaknya😂,youtube,otak lu yg minim ilmu kayak,netral
"wkwkwk tonton lg coba, bakal paham jeniusnya om jokan setelah nonton ulang",youtube,wkwkwk tonton lg coba paham jenius om jok nonton ulang,netral
 @pamaliproduction4251  dri dlu mmng sampah film indo..,youtube,pamaliproduction dri dlu mmng sampah film indo,netral
" DA24   apaan kau,  tisu bekas wc?",youtube,da kau tisu bekas wc,netral
Kasian🤣,youtube,kasi,netral
 @wizardryteacher_  apaan lo lolo,youtube,wizardryteacher lo lolo,netral
Sinting!! Wakwoww,youtube,sinting wakwoww,netral
"Huuu gapunya ilmu huuu, sebelum nilai punya pemikiran dan ilmu dulu wkwkwk. Ga ngerti cara nilai film kah wkwkwkwk, keliatan mana yang bego",youtube,huuu gapunya ilmu huuu nilai pikir ilmu wkwkwk ga ngerti nilai film kah wkwkwkwk liat bego,netral
"Komen mu, sdh cukup menceritakan dirimu yg sebenarnya,",youtube,komen mu sdh cerita diri yg,netral
"Melihat film ini jadi sepeti melihat film pendek joko anwar ""siksa kubur"" Berasa 11/12 horornya...😌",youtube,film sepet film pendek joko anwar siksa kubur asa horor,netral
"Film ini rate nya 
11/10

Bagus bat 👍👍👍👍",youtube,film rate nya bagus bat,positif
Ditunggu link download nya ya,youtube,tunggu link download nya ya,netral
"Scene paling gw suka pas di lift sih sama pas lari lari ditangga dikejar pocong nya, sumpah merinding banget pas nonton.",youtube,scene gw suka pas lift sih pas lari lari tangga kejar pocong nya sumpah merinding banget pas nonton,positif
"Film pertama lucu masa ustadz mati sama setan🤣

Yang kedua nya gmna nih pak kyai mati juga dong",youtube,film lucu ustadz mati setan nya gmna nih kyai mati,netral
Keren si kata gue,youtube,keren si gue,positif
Aku nyari di ytb yg season 2 blm ad ya,youtube,nyari ytb yg season blm ad ya,netral
"Jujur PRIBADI NONTON JADI GAK NYAMAN, BANYAK FLASH YG BIKIN MATA SAKIT. 

Uda tau nonton bioskop pasti gelap, adegan pake Flash di film bikin ga nyaman. Selebihnya film OKE",youtube,jujur pribadi nonton gak nyaman flash yg bikin mata sakit uda tau nonton bioskop gelap adegan pake flash film bikin ga nyaman lebih film oke,netral
"Jujur yaa , ini pertama kalinya aku hbis nonton fim horror smpai terngiang-ngiang dan di rumah sndiri jadi takut , dulu iya waktu kecil 😂 . padahal aku penggemar film horror , slasher, gore , pokoknya yg sadis"" , psikopat , hobi aku bnget . tapi pengabdi setan 2 ini smpai takut mndi sendiri pas merem jadi keingat 😂 . recomend bnget ini",youtube,jujur yaa kali hbis nonton fim horror smpai terngiangngiang rumah sndiri takut iya gemar film horror slasher gore pokok yg sadis psikopat hobi bnget abdi setan smpai takut mndi pas merem ingat recomend bnget,netral
Kembali lagi setelah nonton filmnya. Selamat atas 4 juta penontonnya. Kagak sampe seminggu dah nyentuh angka jutaan itu benar2 luar biasa unt skala film horor Indo,youtube,nonton film selamat juta tonton kagak sampe minggu dah nyentuh angka juta unt skala film horor indo,netral
Jump scare doang,youtube,jump scare doang,netral
Di terakhir cuplikan plis gw lagi makan es batu langsung kesedak😭🔪,youtube,cuplik plis gw makan es batu langsung sedak,netral
Filmnya nggak serem..lucu.. wkwkw..pas dtanya siapa nama Lo... Ngakak gw... Film komedi kalehhh nggak horor sama kali..,youtube,film nggak seremlucu wkwkwpas dtanya nama lo ngakak gw film komedi kalehhh nggak horor kali,netral
Kaya nya bakal ada PS 3 dah,youtube,kaya nya ps dah,netral
Film horor yg ini konsep syutingnya cuma semalam aja. Besok paginya udah slese.,youtube,film horor yg konsep syuting malam aja besok pagi udah slese,netral
Joko Anwar tolong tambah jumskare supaya rame,youtube,joko anwar tolong jumskare rame,netral
"Dari PS1 dan PS2 ini ada beberapa alur cerita yg memang aku alami di keluargaku, hingga bapak dan ibuku meninggal di Th 2016",youtube,ps ps alur cerita yg alami keluarga ibu tinggal th,netral
Anak kecil.umur 6 tahun boleh nonton ga ya,youtube,anak kecilumur nonton ga ya,netral
menurut pendapatku.. FILM FILM BIOSKOP INDO aktor dan aktris nya kalau bisa jangan artis yang sudah dikenal masyarakat... biar penonton lebih seru dan menikmati FILM BIOSKOP tersebut.,youtube,dapat film film bioskop indo aktor aktris nya artis kenal masyarakat biar tonton seru nikmat film bioskop,netral
Padahal udah lihat film nya iseng nonton trailer nya aja masih tutup mata anjjrr,youtube,udah lihat film nya iseng nonton trailer nya aja tutup mata anjjrr,netral
Mati jugaaa 😅😅😅,youtube,mati jugaaa,netral
 @Nenkun__  hehehhe bisa aja nenek😬,youtube,nenkun hehehhe aja nenek,netral
"Sering"" nonton film luar bro ..biasanya pemuka agama / pendeta di film luar juga gitu ..malah kalah sama setannya... Yg berhasil ngusir setan malah karakter utama atau kadang pembasmi iblis...",youtube,nonton film bro muka agama pendeta film gitu kalah setan yg hasil ngusir setan karakter utama kadang basmi iblis,netral
" @wildcat6466  ustadz ini , dalam dunia agama Islam agama yang mujarab, seorang ustadz gak mungkin kan gak hafal ayat kursi, nah dalam Al Qur'an udh jelas bahwa setan/iblis kalah sama ayat-ayat Qur'an, 
Dengan menunjukkan seorang ustadz kalah sama setan, berarti setan lebih kuat dri ustadz dong 🤣🤣🤣

Jangan samakan dengan film luar, this is Indonesia 😎",youtube,wildcat ustadz dunia agama islam agama mujarab ustadz gak gak hafal ayat kursi al quran udh setaniblis kalah ayatayat quran ustadz kalah setan setan kuat dri ustadz sama film this is indonesia,netral
"35k lol bayar lah mau gratisan mulu, ga menghargai",youtube,k lol bayar gratis mulu ga harga,netral
Emangnya kalo gw buka ytb gratis ????,youtube,emang kalo gw buka ytb gratis,netral
" @photengjr.2731  nonton di youtube sama aja gratisan bang wlopun situ byar kuota juga, sama aja gak menghargai si pembuat film.
Lagipula kan cuma 35rb, nnton d bioskop lebih enak, layar gede & seolah olah kita masuk dlm film itu",youtube,photengjr nonton youtube aja gratis bang wlopun situ byar kuota aja gak harga si buat film lagipula rb nnton d bioskop enak layar gede olah masuk dlm film,netral
Ke bioskop bang,youtube,bioskop bang,netral
"Kalo mata sakit, nonton nya paling belakang & d tengah tengah.",youtube,kalo mata sakit nonton nya d,netral
lebay,youtube,lebay,netral
 @Aparmy-m7c  hahaha,youtube,aparmymc hahaha,netral
르바이,youtube,,netral
" @wizardryteacher_  ngetik apa kau , aku gak tau ?",youtube,wizardryteacher ngetik kau gak tau,netral
🤓,youtube,,netral
Lah tapi di final filmnya si cowo itu ga nanya siapa Lo. Itu cuman di trailer doang. Ketauan deh kagak nonton nih 🤣🤣 gantian gw yg ngakak,youtube,final film si cowo ga nanya lo cuman trailer doang tau deh kagak nonton nih ganti gw yg ngakak,netral
" @FegaArabela  emang si Dino bener ngomong kak 'Siapa Lo' cuman bedanya di Trailer dia ngomong dulu baru diliatin si Ibu,kalo di Filmnya Si Ibu dulu nongol baru Dino ngomong",youtube,fegaarabela emang si dino bener ngomong kak lo cuman beda trailer ngomong diliatin si ibukalo film si nongol dino ngomong,netral
